#,Photo,Product,Category,Section,Material,Dimensions (cm),Keep / Remove,Notes
47,"=IMAGE(""https://jadouse5.github.io/taklidy-catalogue/images/pedestal-serving-bowl-046.jpg"", 1)",Pedestal Serving Bowl,Pedestal Serving Bowl,"Bowls, Baskets & Compotes",Silver-plate,,,
48,"=IMAGE(""https://jadouse5.github.io/taklidy-catalogue/images/beaded-pedestal-bowl-047.jpg"", 1)",Beaded Pedestal Bowl,Beaded Pedestal Bowl,"Bowls, Baskets & Compotes",Silver-plate,,,
49,"=IMAGE(""https://jadouse5.github.io/taklidy-catalogue/images/mirror-plateau-048.jpg"", 1)",Mirror Plateau,Mirror Plateau,Trays & Platters,Silver-plate,,,
50,"=IMAGE(""https://jadouse5.github.io/taklidy-catalogue/images/pierced-round-charger-049.jpg"", 1)",Pierced Round Charger,Pierced Round Charger,Trays & Platters,Silver-plate,,,
51,"=IMAGE(""https://jadouse5.github.io/taklidy-catalogue/images/oval-mirror-plateau-050.jpg"", 1)",Oval Mirror Plateau,Oval Mirror Plateau,Trays & Platters,Silver-plate,,,
52,"=IMAGE(""https://jadouse5.github.io/taklidy-catalogue/images/oval-mirror-plateau-051.jpg"", 1)",Oval Mirror Plateau,Oval Mirror Plateau,Trays & Platters,Silver-plate,,,
53,"=IMAGE(""https://jadouse5.github.io/taklidy-catalogue/images/oval-mirror-plateau-052.jpg"", 1)",Oval Mirror Plateau,Oval Mirror Plateau,Trays & Platters,Silver-plate,,,
54,"=IMAGE(""https://jadouse5.github.io/taklidy-catalogue/images/octagonal-compote-053.jpg"", 1)",Octagonal Compote,Octagonal Compote,"Bowls, Baskets & Compotes",Silver-plate,,,
55,"=IMAGE(""https://jadouse5.github.io/taklidy-catalogue/images/octagonal-compote-054.jpg"", 1)",Octagonal Compote,Octagonal Compote,"Bowls, Baskets & Compotes",Silver-plate,,,
56,"=IMAGE(""https://jadouse5.github.io/taklidy-catalogue/images/footed-centerpiece-bowl-055.jpg"", 1)",Footed Centerpiece Bowl,Footed Centerpiece Bowl,"Bowls, Baskets & Compotes",Silver-plate,,,
57,"=IMAGE(""https://jadouse5.github.io/taklidy-catalogue/images/lion-handle-footed-bowl-056.jpg"", 1)",Lion-Handle Footed Bowl,Lion-Handle Footed Bowl,"Bowls, Baskets & Compotes",Silver-plate,,,
58,"=IMAGE(""https://jadouse5.github.io/taklidy-catalogue/images/deep-pedestal-bowl-057.jpg"", 1)",Deep Pedestal Bowl,Deep Pedestal Bowl,"Bowls, Baskets & Compotes",Silver-plate,,,
59,"=IMAGE(""https://jadouse5.github.io/taklidy-catalogue/images/beaded-footed-bowl-058.jpg"", 1)",Beaded Footed Bowl,Beaded Footed Bowl,"Bowls, Baskets & Compotes",Silver-plate,,,
60,"=IMAGE(""https://jadouse5.github.io/taklidy-catalogue/images/pierced-pedestal-compote-059.jpg"", 1)",Pierced Pedestal Compote,Pierced Pedestal Compote,"Bowls, Baskets & Compotes",Silver-plate,,,
